symbol,kind,relpath,line,snippet
ACCEL,usage,HybridCPU_Compiler/Core/IR/Model/CompilerLane7DeferredAbiContract.cs,571,"""ACCEL_UNBIND_QUEUE"","
VMX,usage,HybridCPU_Compiler/Core/IR/Model/CompilerNonVmxScalarCapabilityModel.cs,17,/// Compiler-visible Non-VMX scalar capability gate.
VMX,usage,HybridCPU_Compiler/Core/IR/Model/CompilerNonVmxScalarCapabilityModel.cs,57,"$""{mnemonic} compiler emission requires Non-VMX scalar capability {feature}."");"
StreamEngine,usage,HybridCPU_Compiler/Core/IR/Model/CompilerVectorVlmBlockedAbiContract.cs,1576,"""structure movement helper ABI, shape/order sideband, payload canonicalization, active VL/tail behavior, staged publication, replay, and no movement-permutation, segment-memory, or StreamEngine fallback alias decisions"","
VMX,usage,HybridCPU_Compiler/Core/IR/Model/CompilerVectorVlmBlockedAbiContract.cs,698,"""Future helper emission requires a variant-specific dot/tile ABI, scale metadata payload, staged retire/replay, golden evidence, and no fallback to scoped VDOT.WIDE, base dot-product, widening/FMA, Lane6 descriptor, matrix/tile, or VMX-specific paths."","
VMX,usage,HybridCPU_Compiler/Core/IR/Model/CompilerVectorVlmBlockedAbiContract.cs,708,"""Future helper emission requires a variant-specific accumulator dot/tile ABI, staged retire/replay, golden evidence, and no fallback to scoped VDOT.WIDE, base dot-product, widening/FMA, Lane6 descriptor, matrix/tile, or VMX-specific paths."","
VMX,usage,HybridCPU_Compiler/Core/IR/Model/CompilerVectorVlmBlockedAbiContract.cs,1562,"""fixed-point saturation helper ABI, signedness/width/clamp policy, overflow policy, shift policy where applicable, VLM materialization, staged retire publication, replay/rollback/golden evidence, and no VADD.SAT, base arithmetic/shift, scalar helper, Lane6 stream, Lane7 accelerator, VMX-specific, or"
VMX,usage,HybridCPU_Compiler/Core/IR/Model/CompilerVectorVlmBlockedAbiContract.cs,1564,"""fixed-point average/clip helper ABI, average or bounds/result-width policy, rounding/truncation, signedness, VLM materialization, staged retire publication, replay/rollback/golden evidence, and no VADD.SAT, fixed-point saturation, base arithmetic/shift, narrowing/conversion, scalar helper, Lane6 st"
VMX,usage,HybridCPU_Compiler/Core/IR/Model/CompilerVectorVlmBlockedAbiContract.cs,1566,"""variant-specific dot/tile helper ABI, accumulator precision/result footprint, scale metadata or wide-integer contour policy where applicable, deterministic ordering, VLM materialization, staged retire publication, replay/rollback/golden evidence, and no scoped VDOT.WIDE, base dot-product, widening/"
ACCEL,usage,HybridCPU_Compiler/Core/IR/Model/IrAcceleratorModels.cs,10,/// The choice is made before native ACCEL_SUBMIT emission; runtime rejection never
ACCEL,usage,HybridCPU_Compiler/Core/IR/Model/IrAcceleratorModels.cs,40,/// runtime authority and not a fallback promise after ACCEL_SUBMIT exists.
ACCEL,usage,HybridCPU_Compiler/Core/IR/Model/IrAcceleratorModels.cs,153,/// only decide whether the compiler may emit ACCEL_SUBMIT.
ACCEL,usage,HybridCPU_Compiler/Core/IR/Model/IrAcceleratorModels.cs,196,"""L7-SDC compiler intent cannot promise runtime fallback after ACCEL_SUBMIT emission."");"
ACCEL,usage,HybridCPU_Compiler/Core/IR/Model/IrAcceleratorModels.cs,203,"""Accelerator intent selected non-accelerator lowering before native ACCEL_SUBMIT emission.""),"
ACCEL,usage,HybridCPU_Compiler/Core/IR/Model/IrAcceleratorModels.cs,215,"""Compiler accelerator capability model does not support this command; choose CPU/non-accelerator lowering before ACCEL_SUBMIT emission.""),"
ACCEL,usage,HybridCPU_Compiler/Core/IR/Model/IrAcceleratorModels.cs,221,"""Accelerator workload is not coarse enough for L7-SDC emission; choose CPU/non-accelerator lowering before ACCEL_SUBMIT emission.""),"
ACCEL,usage,HybridCPU_Compiler/Core/IR/Model/IrAcceleratorModels.cs,227,"""Compiler capability model selected native lane7 ACCEL_SUBMIT emission."")"
ACCEL,usage,HybridCPU_Compiler/Core/IR/Model/IrAcceleratorModels.cs,249,"$""ACCEL_SUBMIT token destination register must be in [0, {ArchRegId.MaxValue}]."");"
ACCEL,usage,HybridCPU_Compiler/Core/IR/Model/IrAcceleratorModels.cs,266,"""L7-SDC compiler accelerator intent requires typed descriptor sideband before ACCEL_SUBMIT emission."");"
IrResourceClass,definition,HybridCPU_Compiler/Core/IR/Model/IrEnums.cs,24,public enum IrResourceClass
VMX,usage,HybridCPU_Compiler/Legacy/VMX-2/Core/IR/Model/VmxCompilerAuthority.cs,12,/// Compiler-facing VMX authority categories. These are diagnostics and
VMX,usage,HybridCPU_Compiler/Legacy/VMX-2/Core/IR/Model/VmxCompilerAuthority.cs,13,/// preflight facts only; runtime legality remains owned by the VMX runtime.
VMX,usage,HybridCPU_Compiler/Legacy/VMX-2/Core/IR/Model/VmxCompilerAuthority.cs,258,"$""Target does not publish VMX capability {feature}."");"
VMX,usage,HybridCPU_Compiler/Legacy/VMX-2/Core/IR/Model/VmxCompilerAuthority.cs,267,"$""Root runtime policy has not enabled VMX feature {feature}."");"
VMX,mention,HybridCPU_Compiler/Legacy/VMX-2/Core/IR/Model/VmxCompilerAuthority.cs,279,info.Value.InstructionClass != InstructionClass.Vmx ||
VMX,usage,HybridCPU_EnvGUI/Form_Hybrid_CPU.cs,1229,"tabPage_VMX.Text = ""VMX"";"
VMX,usage,HybridCPU_EnvGUI/Form_Main.ExtendedUI.cs,588,"this.tabPage_VMX.Text = ""VMX Virtualization"";"
VMX,usage,HybridCPU_EnvGUI/Form_Main.ExtendedUI.cs,591,"this.groupBox_VMXState.Text = ""VMX State"";"
VMX,usage,HybridCPU_EnvGUI/Form_Main.ExtendedUI.cs,593,"this.label_VMX_State.Text = ""VMX Mode:"";"
VMX,usage,HybridCPU_EnvGUI/Form_Main.ExtendedUI.cs,1115,// ---- Tab: VMX / Virtualization ----
MemorySubsystem,usage,HybridCPU_EnvGUI/Form_Main.Init.cs,198,"InvokeHostedModuleMethod(""Form_Main.MemorySubsystem"", ""RefreshMemorySubsystemStats"");"
MemorySubsystem,usage,HybridCPU_EnvGUI/Form_Main.Init.cs,199,"InvokeHostedModuleMethod(""Form_Main.MemorySubsystem"", ""RefreshMemoryConfig"");"
MemorySubsystem,usage,HybridCPU_EnvGUI/Form_Main.Init.cs,496,"InvokeHostedModuleMethod(""Form_Main.MemorySubsystem"", ""RefreshMemorySubsystemStats"");"
VMX,usage,HybridCPU_EnvGUI/Form_Main.Init.cs,192,// Final refresh of VMX view
MemorySubsystem,usage,HybridCPU_EnvGUI/Form_Main.RefUiInjection.Generated.cs,42,"TryInjectFormProject(""Form_Main.MemorySubsystem"", EnsureModuleTabPage(""Form_Main.MemorySubsystem"", ""Memory Subsystem""));"
VMX,usage,HybridCPU_EnvGUI/SimpleAsmApp.cs,65,const ulong VMX_REGION = 0x200000;    // 2 MB - VMX region (4KB aligned)
VMX,usage,HybridCPU_EnvGUI/SimpleAsmApp.cs,82,"/// This program demonstrates scalar ALU, vector ops, VMX, DMA, and I/O operations"
VMX,usage,HybridCPU_EnvGUI/SimpleAsmApp.cs,117,"// PlatformLevel sections (bitwise+lock, OS kernel, apps, vector, VMX, CSR, DMA, stop)"
VMX,usage,HybridCPU_EnvGUI/SimpleAsmApp.cs,123,EmitVmxDemo();                     // Section 9: VMX Virtualization Demo
VMX,usage,HybridCPU_EnvGUI/SimpleAsmApp.PlatformLevel.cs,636,///////////////////////////////////////////////////////////// Section 9: VMX Virtualization Demo
VMX,usage,HybridCPU_EnvGUI/SimpleAsmApp.PlatformLevel.cs,639,"/// Emits VMX virtualization demo: VMX_ON, VMCS load/clear, VM_WRITE/READ, VMX_OFF, power states."
VMX,usage,HybridCPU_EnvGUI/SimpleAsmApp.PlatformLevel.cs,643,// ISA v2: VMX/VMCS removed from architecture — replaced by CSR-based hypervisor controls
VMX,mention,HybridCPU_ISE.Tests/Architecture/VmxInstructionMetadataConsistencyTests.cs,46,"Assert.Equal(InstructionClass.Vmx, microOp.InstructionClass);"
VMX,mention,HybridCPU_ISE.Tests/Architecture/VmxInstructionMetadataConsistencyTests.cs,132,"Class = InstructionClass.Vmx,"
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerBackendLoweringPhase11Tests.cs,157,"Assert.Contains(""ACCEL_SUBMIT emission"", carrierDecision.Reason, StringComparison.Ordinal);"
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerBackendLoweringPhase11Tests.cs,160,"Assert.Equal(InstructionsEnum.ACCEL_SUBMIT, (InstructionsEnum)lowered.OpCode);"
VMX,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerEmissionInventoryTests.cs,552,"$""{ResolveCompilerOptionalMnemonic(opcode)} compiler emission requires Non-VMX scalar capability {requiredFeature}"","
VMX,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerEmissionInventoryTests.cs,703,"$""{ResolveCompilerOptionalMnemonic(opcode)} compiler emission requires Non-VMX scalar capability {requiredFeature}"","
VMX,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerEmissionInventoryTests.cs,854,"$""{ResolveCompilerOptionalMnemonic(opcode)} compiler emission requires Non-VMX scalar capability {requiredFeature}"","
VMX,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerEmissionInventoryTests.cs,1005,"$""{ResolveCompilerOptionalMnemonic(opcode)} compiler emission requires Non-VMX scalar capability {requiredFeature}"","
VMX,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerEmissionInventoryTests.cs,1267,"Assert.Contains(""CTZ compiler emission requires Non-VMX scalar capability ScalarBitmanipCore"", exception.Message);"
VMX,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerEmissionInventoryTests.cs,1366,"Assert.Contains(""CPOP compiler emission requires Non-VMX scalar capability ScalarBitmanipCore"", exception.Message);"
VMX,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerEmissionInventoryTests.cs,1476,"$""{ResolveCompilerOptionalMnemonic(opcode)} compiler emission requires Non-VMX scalar capability ScalarBitmanipCore"","
VMX,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerEmissionInventoryTests.cs,1777,"""RDCYCLE compiler emission requires Non-VMX scalar capability ScalarSystemCounter"","
VMX,mention,HybridCPU_ISE.Tests/CompilerTests/CompilerEmissionInventoryTests.cs,1815,"Assert.Equal(InstructionClass.Vmx, ir.InstructionClass);"
VMX,mention,HybridCPU_ISE.Tests/CompilerTests/CompilerEmissionInventoryTests.cs,1850,"Assert.Equal(InstructionClass.Vmx, vmx.InstructionClass);"
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerEmissionInventoryTests.cs,2899,"if (contract.Mnemonic == ""ACCEL_QUERY_ABI"")"
VMX,mention,HybridCPU_ISE.Tests/CompilerTests/CompilerMatrixTilePositiveEmissionTests.cs,212,""".ISA.Instructions.Vmx."""
VMX,mention,HybridCPU_ISE.Tests/CompilerTests/CompilerNoEmissionBoundaryTests.cs,191,"""Vmx"","
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerNoEmissionBoundaryTests.cs,782,"""ACCEL_QUERY_CAPS"","
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerNoEmissionBoundaryTests.cs,783,"""ACCEL_POLL"","
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerNoEmissionBoundaryTests.cs,784,"""ACCEL_WAIT"","
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerNoEmissionBoundaryTests.cs,785,"""ACCEL_CANCEL"","
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerNoEmissionBoundaryTests.cs,786,"""ACCEL_FENCE"","
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerNoEmissionBoundaryTests.cs,787,"""ACCEL_STATUS"","
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerNoEmissionBoundaryTests.cs,788,"""ACCEL_GET_RESULT"","
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerNoEmissionBoundaryTests.cs,789,"""ACCEL_RESET"","
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerNoEmissionBoundaryTests.cs,791,"""ACCEL_FFT"","
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerNoEmissionBoundaryTests.cs,792,"""ACCEL_CRYPTO"","
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerNoEmissionBoundaryTests.cs,793,"""ACCEL_HASH"","
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerNoEmissionBoundaryTests.cs,794,"""ACCEL_SPARSE"","
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/CompilerNoEmissionBoundaryTests.cs,795,"""ACCEL_GRAPH"","
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/L7SdcCompilerPhase12Tests.cs,40,"Assert.Equal(InstructionsEnum.ACCEL_SUBMIT, (InstructionsEnum)raw.OpCode);"
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/L7SdcCompilerPhase12Tests.cs,59,"Assert.Equal(InstructionsEnum.ACCEL_SUBMIT, ir.Opcode);"
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/L7SdcCompilerPhase12Tests.cs,81,"Assert.Equal(InstructionsEnum.ACCEL_SUBMIT, (InstructionsEnum)lowered.OpCode);"
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/L7SdcCompilerPhase12Tests.cs,121,"opCode: (uint)InstructionsEnum.ACCEL_SUBMIT,"
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/L7SdcCompilerPhase12Tests.cs,139,[InlineData(InstructionsEnum.ACCEL_QUERY_CAPS)]
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/L7SdcCompilerPhase12Tests.cs,140,[InlineData(InstructionsEnum.ACCEL_SUBMIT)]
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/L7SdcCompilerPhase12Tests.cs,141,[InlineData(InstructionsEnum.ACCEL_POLL)]
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/L7SdcCompilerPhase12Tests.cs,142,[InlineData(InstructionsEnum.ACCEL_WAIT)]
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/L7SdcCompilerPhase12Tests.cs,143,[InlineData(InstructionsEnum.ACCEL_CANCEL)]
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/L7SdcCompilerPhase12Tests.cs,144,[InlineData(InstructionsEnum.ACCEL_FENCE)]
ACCEL,usage,HybridCPU_ISE.Tests/CompilerTests/L7SdcCompilerPhase12Tests.cs,145,[InlineData(InstructionsEnum.ACCEL_STATUS)]
StreamRegisterFile,usage,HybridCPU_ISE.Tests/EvaluationAndMetrics/StreamRegisterFileBypassTests.cs,12,var srf = new StreamRegisterFile();
StreamRegisterFile,usage,HybridCPU_ISE.Tests/EvaluationAndMetrics/StreamRegisterFileBypassTests.cs,21,var srf = new StreamRegisterFile();
StreamRegisterFile,usage,HybridCPU_ISE.Tests/EvaluationAndMetrics/StreamRegisterFileBypassTests.cs,37,var srf = new StreamRegisterFile();
StreamRegisterFile,usage,HybridCPU_ISE.Tests/EvaluationAndMetrics/StreamRegisterFileBypassTests.cs,56,var srf = new StreamRegisterFile();
StreamRegisterFile,usage,HybridCPU_ISE.Tests/EvaluationAndMetrics/StreamRegisterFileBypassTests.cs,72,var srf = new StreamRegisterFile();
StreamRegisterFile,usage,HybridCPU_ISE.Tests/EvaluationAndMetrics/StreamRegisterFileBypassTests.cs,89,var srf = new StreamRegisterFile();
StreamRegisterFile,usage,HybridCPU_ISE.Tests/EvaluationAndMetrics/StreamRegisterFileBypassTests.cs,113,var srf = new StreamRegisterFile();
StreamRegisterFile,usage,HybridCPU_ISE.Tests/EvaluationAndMetrics/StreamRegisterFileBypassTests.cs,129,var srf = new StreamRegisterFile();
StreamRegisterFile,usage,HybridCPU_ISE.Tests/EvaluationAndMetrics/StreamRegisterFileBypassTests.cs,148,var srf = new StreamRegisterFile();
StreamRegisterFile,usage,HybridCPU_ISE.Tests/EvaluationAndMetrics/StreamRegisterFileBypassTests.cs,163,var srf = new StreamRegisterFile();
StreamRegisterFile,usage,HybridCPU_ISE.Tests/EvaluationAndMetrics/StreamRegisterFileBypassTests.cs,179,var srf = new StreamRegisterFile();
StreamRegisterFile,usage,HybridCPU_ISE.Tests/EvaluationAndMetrics/StreamRegisterFileBypassTests.cs,193,var srf = new StreamRegisterFile();
StreamRegisterFile,usage,HybridCPU_ISE.Tests/EvaluationAndMetrics/StreamRegisterFileBypassTests.cs,202,var srf = new StreamRegisterFile();
StreamRegisterFile,usage,HybridCPU_ISE.Tests/EvaluationAndMetrics/StreamRegisterFileBypassTests.cs,222,var srf = new StreamRegisterFile();
VMX,mention,HybridCPU_ISE.Tests/Generated/VmxSpecConformanceTests.cs,85,"Assert.Equal(InstructionClass.Vmx, microOp.InstructionClass);"
StreamRegisterFile,usage,HybridCPU_ISE.Tests/ISAModel/Q1ReviewIntegrationTests.cs,18,/// - StreamRegisterFile + Performance Reporting
StreamRegisterFile,usage,HybridCPU_ISE.Tests/ISAModel/Q1ReviewIntegrationTests.cs,22,"///               StreamRegisterFile.cs, PerformanceReport.cs"
StreamRegisterFile,usage,HybridCPU_ISE.Tests/ISAModel/Q1ReviewIntegrationTests.cs,113,var srf = new StreamRegisterFile();
StreamRegisterFile,mention,HybridCPU_ISE.Tests/ISAModel/Q1ReviewIntegrationTests.cs,121,// Serve from SRF 5 times
StreamRegisterFile,usage,HybridCPU_ISE.Tests/ISAModel/Q1ReviewIntegrationTests.cs,186,var srf = new StreamRegisterFile();
StreamRegisterFile,mention,HybridCPU_ISE.Tests/ISAModel/Q1ReviewIntegrationTests.cs,201,// 2. SRF bypass
MemorySubsystem,usage,HybridCPU_ISE.Tests/MemoryAndRouting/MemorySubsystemBankSchedulingTests.cs,43,var memory = new MemorySubsystem(ref proc);
MemorySubsystem,usage,HybridCPU_ISE.Tests/MemoryAndRouting/MemorySubsystemBankSchedulingTests.cs,83,var memory = new MemorySubsystem(ref proc);
MemorySubsystem,usage,HybridCPU_ISE.Tests/MemoryAndRouting/MemorySubsystemBankSchedulingTests.cs,125,var memory = new MemorySubsystem(ref proc);
MemorySubsystem,usage,HybridCPU_ISE.Tests/MemoryAndRouting/MemorySubsystemBankSchedulingTests.cs,142,var memory = new MemorySubsystem(ref proc);
MemorySubsystem,usage,HybridCPU_ISE.Tests/MemoryAndRouting/MemorySubsystemBankSchedulingTests.cs,159,var memory = new MemorySubsystem(ref proc);
MemorySubsystem,usage,HybridCPU_ISE.Tests/MemoryAndRouting/MemorySubsystemBankSchedulingTests.cs,179,var memory = new MemorySubsystem(ref proc);
MemorySubsystem,usage,HybridCPU_ISE.Tests/MemoryAndRouting/MemorySubsystemBankSchedulingTests.cs,194,var memory = new MemorySubsystem(ref proc);
MemorySubsystem,usage,HybridCPU_ISE.Tests/MemoryAndRouting/MemorySubsystemBankSchedulingTests.cs,233,var memory = new MemorySubsystem(ref proc)
MemorySubsystem,usage,HybridCPU_ISE.Tests/MemoryAndRouting/MemorySubsystemBankSchedulingTests.cs,258,var memory = new MemorySubsystem(ref proc);
MemorySubsystem,usage,HybridCPU_ISE.Tests/MemoryAndRouting/MemorySubsystemBankSchedulingTests.cs,274,var memory = new MemorySubsystem(ref proc);
MemorySubsystem,usage,HybridCPU_ISE.Tests/PhasingAndExtensions/AssistRuntimeTests.cs,53,MemorySubsystem? savedMemory = Processor.Memory;
MemorySubsystem,usage,HybridCPU_ISE.Tests/PhasingAndExtensions/AssistRuntimeTests.cs,57,Processor.Memory = new MemorySubsystem(ref proc)
StreamRegisterFile,usage,HybridCPU_ISE.Tests/PhasingAndExtensions/AssistRuntimeTests.Part3.cs,903,StreamRegisterFile srf = Processor.Memory!.StreamRegisters;
StreamRegisterFile,usage,HybridCPU_ISE.Tests/PhasingAndExtensions/AssistRuntimeTests.Part5.cs,971,var srf = new StreamRegisterFile(numRegisters: 2);
VMX,usage,HybridCPU_ISE.Tests/PhasingAndExtensions/Phase04/Phase04SerializingEpochTests.cs,442,"/// serialisation class — models a VMX instruction (VMLAUNCH, VMXON, etc.) in the"
VMX,mention,HybridCPU_ISE.Tests/PhasingAndExtensions/Phase04/Phase04SerializingEpochTests.cs,450,InstructionClass   = global::YAKSys_Hybrid_CPU.Arch.InstructionClass.Vmx;
VMX,usage,HybridCPU_ISE.Tests/PhasingAndExtensions/Phase04/Phase04SerializingEpochTests.cs,465,"/// <summary>Create a <see cref=""VmxSerialTestMicroOp""/> representing a VMX boundary instruction.</summary>"
VMX,usage,HybridCPU_ISE.Tests/PhasingAndExtensions/Phase04/Phase04SerializingEpochTests.cs,516,"// Assert: slot 0 still holds the VMX op, not the injected candidate"
MemorySubsystem,usage,HybridCPU_ISE.Tests/SafetyAndVerification/DynamicGRLBMemoryIntegrationTests.cs,14,///   MemorySubsystem.GetHardwareOccupancyMask128()
MemorySubsystem,usage,HybridCPU_ISE.Tests/SafetyAndVerification/DynamicGRLBMemoryIntegrationTests.cs,683,#region MemorySubsystem.GetHardwareOccupancyMask128 Tests
MemorySubsystem,usage,HybridCPU_ISE.Tests/SafetyAndVerification/DynamicGRLBMemoryIntegrationTests.cs,692,var memory = new MemorySubsystem(ref proc);
StreamEngine,usage,HybridCPU_ISE.Tests/SafetyAndVerification/EarlyDomainCertFilteringTests.cs,11,"/// BEFORE they can stimulate TLB, AddressGen, L1 cache, or StreamEngine in EX."
StreamRegisterFile,usage,HybridCPU_ISE.Tests/SafetyAndVerification/RegressionTests.cs,21,"///               StreamRegisterFile.cs, PerformanceReport.cs"
StreamRegisterFile,usage,HybridCPU_ISE.Tests/SafetyAndVerification/RegressionTests.cs,295,#region 6.4 StreamRegisterFile — Non-Interference
StreamRegisterFile,usage,HybridCPU_ISE.Tests/SafetyAndVerification/RegressionTests.cs,301,var srf = new StreamRegisterFile();
StreamRegisterFile,usage,HybridCPU_ISE.Tests/SafetyAndVerification/RegressionTests.cs,319,var srf = new StreamRegisterFile();
MemorySubsystem,usage,HybridCPU_ISE.Tests/SafetyAndVerification/UniversalScoreboardTests.cs,26,"private static MemorySubsystem CreateRuntimeMemorySubsystem(int numBanks, int bankWidthBytes)"
MemorySubsystem,usage,HybridCPU_ISE.Tests/SafetyAndVerification/UniversalScoreboardTests.cs,29,return new MemorySubsystem(ref proc)
MemorySubsystem,usage,HybridCPU_ISE.Tests/SafetyAndVerification/UniversalScoreboardTests.cs,36,"private static void WithProcessorMemory(MemorySubsystem? memory, Action action)"
MemorySubsystem,usage,HybridCPU_ISE.Tests/SafetyAndVerification/UniversalScoreboardTests.cs,38,MemorySubsystem? savedMemory = Processor.Memory;
MemorySubsystem,usage,HybridCPU_ISE.Tests/SafetyAndVerification/UniversalScoreboardTests.cs,375,"MemorySubsystem runtimeMemory = CreateRuntimeMemorySubsystem(numBanks: 16, bankWidthBytes: 128);"
VMX,usage,HybridCPU_ISE.Tests/SecureComputeRefactoring/SecureComputePhase10ReleaseGateTests.cs,39,"new(@""\b(VmcsReadOnlyValueProjectionService|CompatibilityControlDescriptor)\b.*\b(authorizes|allows|permits|enables|grants|opens|unlocks|means|equals)\b.*\b(current\s+readable|readable\s+now|frozen\s+VMX\s+control|VMREAD\s+value|value\s+projection|current\s+value)\b"", RegexOptions.IgnoreCase | Regex"
VMX,usage,HybridCPU_ISE.Tests/SecureComputeRefactoring/SecureComputePhase10ReleaseGateTests.cs,49,"new(@""\b(Stream/Lane6/L7|Stream|Lane6|Lane7|DmaStreamComputeDescriptorParser|ExecutionEnabled)\b.*\b(authorizes|allows|permits|enables|grants|opens|unlocks|activates|is|are|becomes|become)\b.*\b(SecureCompute\s+authority|virtualization\s+authority|VMX\s+authority|secure\s+backend|backend\s+execution"
